#{"t_start": 1713106215.168335, "env_id": null}
r,l,t
-93.131345,1428,2251.131649
203.941301,1428,2254.846934
415.548802,1428,2258.624926
-353.167544,1428,2262.440993
-330.952508,1428,2266.217635
-472.84314,1428,2270.091419
-82.462124,1428,2273.931173
-49.256104,1428,2277.731882
-44.809359,1428,2281.522531
979.092015,1428,2285.35134
-196.576303,1428,2289.161047
117.572276,1428,2292.892376
340.996976,1428,2296.691441
-326.927829,1428,2300.497349
-1.911395,1428,2304.3514
-366.403286,1428,2308.096599
1106.436327,1428,2311.925206
-454.804605,1428,2315.743931
-195.71226,1428,2319.557937
-258.900393,1428,2323.376179
-134.091705,1428,2327.244147
-138.464744,1428,2331.023459
-231.667868,1428,2334.782295
506.779841,1428,2338.701789
395.851103,1428,2342.559499
-665.643147,1428,2346.382511
-408.63598,1428,2350.210128
1022.567152,1428,2353.990224
394.4579,1428,2357.762671
-502.002232,1428,2361.612559
-455.160908,1428,2365.423519
488.339731,1428,2369.225706
-302.201708,1428,2372.973285
-303.776882,1428,2376.80897
-882.797845,1428,2380.643819
-29.19296,1428,2384.457581
-790.767172,1428,2388.203707
30.964674,1428,2391.98199
1150.974928,1428,2395.852733
-451.930561,1428,2399.653456
181.756859,1428,2403.475049
568.150341,1428,2407.279769
-389.459614,1428,2411.185504
-508.308808,1428,2414.903346
1724.239728,1428,2418.763984
-468.781104,1428,2422.529788
1808.818497,1428,2426.35429
124.888855,1428,2430.16743
-473.967863,1428,2433.95738
-372.353346,1428,2437.74434
-545.073062,1428,2441.629558
-189.900114,1428,2445.486545
319.694341,1428,2449.330033
-589.048321,1428,2453.089544
50.151192,1428,2456.926727
123.463106,1428,2460.729437
-404.026416,1428,2464.553647
6.855169,1428,2468.321516
946.130366,1428,2472.111415
183.562928,1428,2475.832357
75.131785,1428,2479.646155
722.501826,1428,2483.513161
-132.976725,1428,2487.262795
126.626867,1428,2491.014384
-437.88489,1428,2494.883483
311.264353,1428,2498.717207
1065.943118,1428,2502.553899
-639.190092,1428,2506.296812
-39.954489,1428,2510.152248
421.663437,1428,2514.028855
-151.898919,1428,2517.776273
