#{"t_start": 1713105789.0286548, "env_id": null}
r,l,t
11684.475024,7142,7432.421108
11371.496636,7142,7452.051412
8685.81397,7142,7471.437485
7556.551867,7142,7491.216105
12254.470921,7142,7510.455811
9600.65435,7142,7529.75283
11937.150525,7142,7549.096196
13085.33329,7142,7568.357957
11090.086924,7142,7587.873418
1532.433692,7142,7607.506172
8979.037223,7142,7627.40926
10650.318606,7142,7646.806956
12031.419263,7142,7666.100884
4377.401256,7142,7685.954098
10240.358452,7142,7705.522545
9487.511259,7142,7724.879684
12360.147538,7142,7744.125411
11261.21478,7142,7763.255444
10914.719107,7142,7782.618653
11416.972883,7142,7802.013024
10950.236012,7142,7821.440711
10853.672183,7142,7840.737882
11650.895429,7142,7860.132189
8417.529547,7142,7879.547842
11702.15503,7142,7898.884584
8036.750313,7142,7918.323272
11698.274857,7142,7937.680482
9483.5839,7142,7957.111295
9416.056391,7142,7976.520326
12903.687294,7142,7996.054443
7604.922247,7142,8015.905435
10970.716904,7142,8035.296065
13248.302132,7142,8054.864727
12813.612196,7142,8074.123127
8122.129735,7142,8094.004002
4138.386038,7142,8113.669868
12512.338839,7142,8132.974436
10606.044205,7142,8152.339389
12249.471579,7142,8171.458447
12019.241256,7142,8190.880961
9821.856808,7142,8210.180194
9237.750543,7142,8229.681835
9711.321856,7142,8249.316418
8957.830197,7142,8268.667673
10163.169464,7142,8288.098697
9345.71105,7142,8307.459382
12778.795676,7142,8327.053014
11202.112221,7142,8346.403044
11406.79841,7142,8365.831733
-357.264928,7142,8385.925122
12587.302596,7142,8405.273293
9484.047635,7142,8425.09804
11290.474899,7142,8444.497001
12417.907905,7142,8463.985193
9844.341473,7142,8483.368264
11309.800349,7142,8502.728083
7121.92278,7142,8522.488557
12568.357369,7142,8541.883393
11270.219877,7142,8561.505509
9369.885904,7142,8580.896207
3450.192215,7142,8600.690384
12077.087973,7142,8619.80226
9642.315557,7142,8639.472876
12324.88755,7142,8658.926036
10855.502798,7142,8678.131672
11082.299803,7142,8697.497883
12793.079473,7142,8716.854911
4436.725506,7142,8736.39883
8994.132384,7142,8756.246505
10850.667685,7142,8775.557291
10881.308235,7142,8794.877741
10325.62155,7142,8814.213477
10523.213259,7142,8833.765136
5794.504803,7142,8853.478405
9542.995704,7142,8872.825216
10558.244556,7142,8892.349046
7194.81992,7142,8912.04872
7946.580948,7142,8931.705635
5989.719944,7142,8951.531388
12877.372524,7142,8971.753462
4411.023266,7142,8991.310864
10932.522669,7142,9010.586149
4015.40161,7142,9030.30546
10715.064336,7142,9049.487046
11324.95411,7142,9068.930548
10035.263603,7142,9088.734059
8115.754601,7142,9108.66132
11690.225051,7142,9128.052454
8012.841444,7142,9147.78029
12125.424159,7142,9167.138553
6324.010779,7142,9186.756129
12819.434057,7142,9206.157493
